Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,National_Q4,UID
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.1: Programme Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,0,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.1: Programme Support,Quarterly,Number of interventions implemented to support public bodies,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",6,0,The PoE submitted is not aligned with means  of verification stated on the Annual Performance Plan ,The Programme will strengthen monitoring of PoE submitted by regions ,,7,7,N/A,N/A,7,2,"The under achievement is due to interventions  that were not implemented by all Districts as stipulated in the Technical Indicator Description and Programme Implementation Plan.
",The Programme will fast-track the outstanding interventions in the last quarter ,7,7,N/A,N/A,,7,7,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.2: Community Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,0,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.2: Community Development,Quarterly,Number of work opportunities created by Provincial Public Works and Infrastructure ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Social Protection, Community and Human Development cluster",1500,3053,"The over-achievement is as a result of replacements that were done in March 2024 through EPWP Maintenance, APTCoD and NYS Programmes.",N/A,,2000,3712,"The over-achievement is as a result of contracts of Security Projects that were concluded earlier than anticipated during quarter 2.
",N/A,3500,4276,"The over-achievement is a result of additional replacements that were done during the third quarter of 2024/25 through EPWP Maintenance, APTCoD, and NYS Programmes.
",,5000,5117,"The over-achievement is as a result of replacements that were done in February and March 2025 through EPWP, Maintenance, Prestige Maintenance, APTCoD and NYS Programmes.
",N/A,,5000,5117,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Annually,Number of ICDP contractors upgraded in Construction Industry Development Board (CIDB) grading,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,Not Applicable,,,,,,,,,,,,,,10,0,,,,10,0,,"The under-achievement is as a result of delays in the finalisation of the ICDP Database due to changes in the specification document
","The Department will fast-track the finalisation of the ICDP database. The process is currently at BAC stages awaiting for the next sitting. This process is anticipated to be finalised by end of May 2025.
",,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,  Number of NYS learners passed RPL,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Social Protection, Community and Human Development cluster",0,0,N/A,N/A,,0,,,,23,12,"The under-achievement is as a result of non-responsive training providers in Joe Gqabi, Nelson Mandela Metro and Alfred Nzo for RPL

","The Programme will have a centralised term contract for RPL training providers .
",54,55,The over-achievement is as a result of more NYS Learners that were ready for RPL assessments during the  quarter. ,N/A,,54,55,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly, Number of NYS learners trained ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Social Protection, Community and Human Development cluster",99,133,The over-achievement is as a result of replacements that were done in March 2024 for the NYS Programme.,N/A,,105,146,"The over-achievement is attributable to replacements that were done during quarter 2 for the NYS Programme.
",N/A,150,200,"The over-achievement is as a result of additional replacements that were done during quarter 3 for the NYS Programme.
",N/A,200,239,The over-achievement is as a result of replacements that were done in February and March 2025 for the NYS Programme.,N/A,,200,239,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,0,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Number of APTCoD learners passed trade test ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Social Protection, Community and Human Development cluster",0,9,The over-achievement is as a result of 9 APTCoD Learners who were ready for trade test and available dates at the training Institution.,N/A,,20,30,The over-achievement is as a result of 30 APTCoD Learners who were ready for trade test and availability of trade test  dates at the training Institution.,N/A,50,88,The over-achievement is as a result of 34 APTCoD Learners who were ready for trade test and available dates at the training Institution during quarter 3.,N/A,88,112,The over-achievement is as a result of more APTCoD Learners that were ready for trade test during the quarter,N/A,,88,112,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Number of emerging contractors supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,Not Applicable,0,0,N/A,N/A,,50,58,"The overachievement is as a result of more contractors attending training provided.
",N/A,86,106,"The over-achievement is as a result of support that were provided to SMME contractors in the form of awards and training during the third quarter.
",N/A,108,149,"The over-achievement is as a result of CIDB training interventions conducted during the quarter.
 conducted during the quarter ",N/A,,108,149,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Number of ICDP contractors supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,Not Applicable,0,0,N/A,N/A,,0,,,,48,,,,80,,,,,80,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Number of ICDP contractors supported ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,0,,,,160,0, The under-achievement is as a result of delays in the finalisation of the ICDP Database due to changes in the specification document.,The Programme will fast-track the finalisation of the ICDP database. The process is currently on BAC stages awaiting for the next sitting. This process is anticipated to be finalised by end of May 2025.,,160,0,,,,,,,Actual performance exceeding performance is desirable ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Number of participants in the APTCoD programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,Not Applicable,687,931,The over-achievement is as a result of replacements that were done in March 2024 for the APTCoD Programme.,N/A,,800,1007,The over-achievement is attributable to replacements that were done during quarter 2 for the APTCoD Programme,N/A,910,1073,"The over-achievement is as a result of additional replacements that were done during quarter 3 for the APTCoD Programme
",N/A,1060,1200,The over-achievement is as a result of replacements that were done in February and March 2025 for the APTCoD Programme.,N/A,,1060,1200,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.4: Co-ordination and Compliance Monitoring,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,0,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Sub Programme 3.4: Co-ordination and Compliance Monitoring,Quarterly,Number of Public Bodies reporting on EPWP targets in the Province,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,Not Applicable,50,50,N/A,N/A,,50,50 ,N/A,N/A,50,50,N/A,N/A,50,50,N/A,N/A,,50,50,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,-,"The Social Protection, Community and Human Development cluster",0,0,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Number of engagements sessions implemented with social partners,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",12,12,0,0,"The Quarterly target for Q1 is 12 not 50, please rectify ",12,12,-,-,14,14,14,-,12,12,-,-,,50,50,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Number of Monitoring and Accountability sessions held ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",5,5,0,0,,5,5,-,-,5,5,5,-,4,4,-,-,,19,19,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Audit opinion on financial statements obtained,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",0,0,-,-,please check APP and include target ,0,0,-,-,0,0,-,-,0,0,-,-,,0,0,,,,,,,,,,,,295
